Q4,Q9,Q10,Q12_total,Q14_total
First Year-level courses,8.444444444444445,5.333333333333333,61.333333333333336,7.222222222222222
Junior-level courses,5.333333333333333,6.666666666666667,59.0,7.833333333333333
Senior-level courses,10.666666666666666,8.0,63.666666666666664,2.3333333333333335
Sophomore-level courses,4.444444444444445,5.777777777777778,67.77777777777777,7.333333333333333
