Q4,Q9,Q10,Q12_total,Q14_total
First Year-level courses,8.0,8.8,52.4,10.0
Junior-level courses,3.0,4.5,53.125,11.375
Senior-level courses,15.0,8.0,52.0,14.5
Sophomore-level courses,7.333333333333333,7.333333333333333,52.0,11.5
