,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_total
Q13_1,-0.11230483833266794,-0.5132649025747366,0.3362482866753204,-0.22293350940011125,-0.12058018065872121,-0.23890355966467264,-0.10876182565910256,-0.2033209198405612,-0.3298781800228738,0.185078042218705,0.2073888247003484,-0.2701149425287356,-0.2249230665149786,-0.019978488090343968,0.23872797720426253,-0.23675529137353296,-0.24326940188556373,-0.15288124521350346,-0.16511154932953895,0.4053556735505119,-0.0662809051537753,-0.13617619485048074,-0.018128956698893722,-0.04170288281141493,0.010861868132594472,0.10693169471341259
Q13_2,-0.08927177851919456,-0.5132649025747366,0.19284989393546453,-0.26226176196295775,0.0289157465983119,-0.2801914973120383,-0.1345041314419133,-0.12261126990656193,-0.14367437607374473,-0.11911391192767365,0.3556414433624596,-0.22518867455552238,-0.45709479603094694,-0.13636589361444532,0.1800852676504477,-0.33229759804857123,-0.12261126990656165,0.029988681408748913,-0.3799989009960212,0.463174796862386,-0.4101402158800693,-0.41833001326703767,0.14476650603589636,-0.11815629248385415,-0.4900511134653514,0.305479841652036
Q13_3,-0.24898437368631668,-0.37387825055298296,0.3434698523910184,0.05227151229818346,0.02620712091804786,-0.1206220841377134,-0.03896038185101543,-0.19340379081188946,0.19548111625286005,-0.09193828321944368,0.23608037816415095,0.29163955984715184,0.28659762871012834,-0.325121516282974,0.04038903479007795,-0.07088812050083365,-0.18411492357966486,0.05838513618926262,-0.05626616867452683,0.38735129642648347,-0.14607663686703573,0.22454435656953592,-0.16450488038384475,-0.19142197484978238,-0.0861379452315988,0.048033914853854616
Q13_4,0.017779358235422347,-0.20365326999063924,-0.25593587228801945,-0.14181290354203943,-0.1734944795898722,-0.3669706904982047,-0.39004485155670915,0.09349970304350655,-0.07692496826486127,-0.13652203302101146,-0.10251356592513176,0.10740037208813762,-0.13179426029667007,0.0063459135320850174,0.27714285714285747,-0.18055875425796533,0.17091003954004214,-0.26294810454633394,-0.22482676754110767,0.292144666905179,-0.15096490996388565,-0.5860245618857595,0.3426613922600516,0.18636296609705724,0.23652495839563278,0.23603861687882002
Q13_5,-0.525172156110405,-0.22580645161290325,-0.09583256828337387,-0.23366935615609521,0.1186781658193853,-0.43228235234547685,-0.21150314693830904,-0.46388192536244194,-0.2517129456275551,-6.990115743806118e-17,-0.027369027575198667,-0.355718916719955,0.01654531972215914,-0.23543718951007406,-0.009869275424396556,-0.263523138347365,0.04389685428048584,-0.15628069639620473,-0.37987212100813844,0.14150223777451193,-0.4842993341399743,-0.30929478706587077,0.025796968518379124,-0.03642053564075646,-0.13867504905630731,0.28045075478798087
Q13_6,-0.10226034141505884,-0.45324710388668105,-0.10274195143871119,-0.13614210377511712,-0.2602417193848082,-0.25419744388645893,-0.10822066212933518,-0.07014785603174331,-0.008503404434858655,0.16245910832216476,-0.1847409361325911,0.10460765241014136,-0.26923076923076916,-0.13079626995284188,0.09578414886923181,-0.316227766016838,-0.37698794268507674,-0.31746481403353544,-0.11441088814070724,0.09683782410662085,-0.29327827828216063,-0.08183170883849697,0.17980514331300348,-0.03850762948565017,-0.3851644432598222,0.23902066590809026
Q13_7,-0.11887435300844619,0.1065761390798719,0.20848486137584943,-0.2545299513201441,0.33048948692942376,-0.3164815804619928,-0.15321285325897369,-0.3191060545774519,-0.29996975526685504,-0.20059523941139687,-0.125250752508782,-0.3957920061296542,-0.3371865079021718,-0.4160025096317543,0.12797861513810024,-0.16289259247507362,-0.07869274118672775,-0.07749623037528762,-0.3579656211871271,0.28078136382933055,-0.39886916868521904,-0.5791405068790081,0.26342559137443267,-0.2822523667636266,-0.31264094565852346,0.13989356601923297
Q13_8,-0.2434657853221188,-0.20095352149607298,-0.24219769764072802,-0.18752696671539906,-0.06068350455470524,0.06835770786458809,-0.328421946649156,0.23210230306465318,0.10469322105627764,0.1057839022612587,0.004817948491780984,0.19977876099422875,-0.1282051282051282,0.016543778923249538,0.13772727149562244,-0.1581929992920832,0.11996589734063415,-0.3255613513823726,-0.09167232562686387,0.10875348781426825,-0.05829640373290906,-0.3282589497289174,-0.1547086279022063,-0.026023671488071897,-0.11264254340723064,0.0795028492804005
Q13_9,-0.24942223172127953,0.37163776146109606,-0.0644823552811024,-0.13109763059561091,0.22825075707255998,0.06284797618014683,-0.13589457930107837,-0.31299537008542994,-0.21108038990772165,-0.08528028654224402,0.004817948491780671,-0.4321358157014431,0.020558557070186608,-0.37267799624996495,-0.1003271189632982,-0.28366449314378134,-0.1847443781460184,-0.11143617749153664,-0.5523521216736259,0.27042102426470543,-0.11948661538017327,-0.17654696590095004,0.08362540428721991,-0.16843055579382052,-0.11433547811483388,0.18828493902857205
Q13_10,-0.25818865655096396,-0.5259339818010492,-0.14081460041469573,-0.31198905096473123,0.05947886892886068,-0.07825847421205682,-0.23269189086526015,-0.5807782753340688,-0.3907740375831401,-0.2673177393746161,-0.06406131903352355,0.16470731754136245,-0.2014684723832566,-0.42931583105565096,-0.303130353950246,0.21668790312180986,-0.02505486760009425,-0.12709511276939114,-0.22944465927817384,-0.12321601452253607,-0.1239670893079111,-0.2353556503177015,0.03529656040012593,-0.33479400215308763,-0.03268602252303069,0.02007886402462225
Q13_11,-0.12857571271486296,-0.6091824685770973,0.1986716434499453,-0.02536024374625112,-0.11656310103003922,-0.34535456689649796,-0.12349644952811342,0.25079445716322735,-0.19053702123645713,-0.23941453493103637,0.22398805428898186,8.895747382469398e-17,-0.2833152987899312,-0.1143099664533867,0.09578414886923184,-0.3545985902720408,-0.03398658973400009,-0.2408288475052234,-0.14716466419798213,0.3315091633105361,-0.29840624116372444,-0.4030828972435944,-0.04374088826398529,0.011028033048638362,-0.3997950294510559,0.015921255744688764
Q13_12,0.16390251702679648,-0.6956083436402526,0.06158920558998355,-0.12210571192223088,0.16963778593599416,-0.10842271852991395,-0.1402573746636554,-0.16196728591203496,0.04559146789922722,-0.05951397006436164,0.37951823527874257,0.3536977865113186,0.3319568649619407,-0.24792551781455,-0.2562098761630798,-0.1834322095617632,-0.11274690420042438,0.20971282452059684,-0.13246127706496166,-0.2249963972972754,-0.13839145970213745,-0.05493731565986299,0.017725741933841663,-0.10111963493468727,-0.055103876877798455,0.17306271876025814
Q13_13,0.026070390577378325,0.5483870967741935,0.12357357489171907,-0.3164184085989895,0.11470786693528086,0.16704685667500702,-0.3701937046944934,-0.4252276096981561,-0.38080259353780227,-0.08991370590269826,-0.014067308984238873,-0.1968054734152412,-0.41674678716864094,0.08052626125469889,-0.13186209609896402,-0.04813258185482561,-0.05340749815342873,0.17379199508779553,-0.2711192620989857,-0.1389524390587159,0.061782612608161855,-0.15785101685321737,0.22726755310506905,-0.11033545687347407,0.25863030005593557,0.19676947279118626
Q13_14,-0.20292692584270022,-0.20095352149607293,0.12391831171148357,-0.163319917258747,-0.08614609845078969,-0.22741781042013817,-0.11013043571732178,-0.1827188343274929,0.05658438466800786,-0.13321859121758436,0.32227223020889545,0.28133190503651784,0.06750972450843987,-0.40517615780697036,-0.06727679319352635,-0.04816830508590881,-0.04683395926865114,0.11468826759632142,-0.2317844984550384,0.395593563961596,-0.15437982367294972,-0.08451542547285164,-0.16791512356486687,-0.14231237785477152,0.13074409009212307,0.13133571379665687
Q13_total,-0.2962212954962133,-0.44418962051665023,0.10496821540878275,-0.34855373984190446,0.0375764047496932,-0.31504396583459565,-0.3795077432525004,-0.37369007685764055,-0.2629014840824265,-0.13387619765345404,0.1648539873198385,-0.07330939947716904,-0.27574579470616,-0.38599122283996024,0.03620887055948845,-0.31979857091126557,-0.14854186527911378,-0.15684764245841934,-0.47382586130771714,0.3628924488760928,-0.3298248012221095,-0.4231456981554451,0.06376529899415431,-0.20078871702343637,-0.1807792451717668,0.2683747152071626
