Q4,Q9,Q10,Q12_total,Q14_total
First Year-level courses,4.0,6.666666666666667,64.33333333333333,5.666666666666667
Junior-level courses,14.0,8.0,69.5,13.5
Senior-level courses,6.0,4.0,60.0,5.5
Sophomore-level courses,8.0,4.0,51.5,9.0
