,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_total
Q13_1,-0.67478586853864,,0.13271218656114264,-0.019920476822240234,0.08671099695241201,0.3535533905932737,0.010174461594455963,-0.23448415270421963,0.16507312000473282,-0.6142951168339511,-0.20701966780270642,-0.5428101483418093,-0.5634361698190111,-0.5139920883900774,-0.6363636363636364,-0.06237828615518048,,-0.1625272110744002,-0.28927007182083253,0.1170411471961306,-0.23452078799117151,-0.25663245128736834,0.2105587219030789,-0.4842479984790933,-0.034921514788478894,-0.20903942054847857
Q13_2,-0.48737732496649416,,0.3041562315913633,-0.03955938860646215,-0.03724194613619293,0.4567501391955697,0.1665706328547944,-0.13769776380647344,0.3311220932031125,-0.5925568289249714,-0.3265086974575386,-0.4742922975556311,-0.6042179781166439,-0.4720774754816658,-0.23643312187173018,-0.18291322825490772,,-0.28047429038060867,0.14988011791887745,0.22992049957180433,0.10380684981717478,0.10783277320343822,0.19911699347999157,-0.7092993656151906,-0.3,0.21952495994649615
Q13_3,-0.021989974856677322,,0.1259881576697423,0.8333333333333331,0.8824975032927698,-0.2236067977499791,0.04774552605594215,0.2886751345948129,-0.13434332265596993,-0.2205643866281425,-3.250400192162493e-17,0.355934248407187,-0.25000000000000017,0.5061366753560107,0.12803687993289603,-0.09759000729485338,,0.5061366753560108,-0.012048192771084262,-0.22549380840084848,0.07254762501100116,0.12309149097933289,-0.10976425998969039,-0.3750000000000003,-0.193649167310371,0.04508420899773846
Q13_4,0.33709993123162074,,-0.3592878785739777,-0.3191423692521128,0.14285714285714285,-0.2529822128134701,0.11385500851066216,-0.4147806778921702,0.3091734712004211,0.04303314829119337,-0.3162277660168379,-0.060192926542884696,0.1561737618886061,-2.6539406435475002e-17,0.142857142857143,-0.3779644730092272,,0.2390457218668786,0.026621743403250162,-0.1901172751573434,0.5375872022286247,0.4082482904638629,-0.23570226039551606,0.16666666666666677,-0.41833001326703767,0.5529329036463904
Q13_5,0.1094284449091259,,0.15018785229652762,-0.1944866553305262,-0.05096471914376255,-0.3952847075210475,0.05657035277517767,0.13703774196550647,-0.24504901470490173,-0.05163977794943271,-0.4889012070387048,-0.05138915323706492,-3.1906176869227783e-17,0.18478728707195907,0.26413527189768715,-0.2773500981126146,,-0.1319909193371137,0.18856527143859864,1.5391211231076973e-16,-0.3162277660168381,-0.2721655269759087,0.312347523777212,-0.4564354645876383,-0.43528575006600695,0.44743459402024255
Q13_6,0.26162797606709076,,0.1048284836721918,-0.1992047682223992,0.0,-0.5477225575051661,0.04733810683311509,-0.17359126870735322,0.09246584018191382,-0.08964214570008004,-0.6324555320336759,-0.17359126870735345,-0.04012861769525653,0.08119979429411513,0.2985111570629969,-0.7293249574894727,,0.3122683473189801,0.3262096684116745,0.15309310892394876,-0.17541160386140583,-0.22268088570756178,0.24096579867074958,-0.6467741736364931,-0.7006490497453707,0.48881646451737804
Q13_7,-0.08785611189861389,,0.09549105211188452,0.12422599874998791,0.2927700218845599,-0.40990639884485036,0.05298798792491226,0.1895245108947259,0.3226369151353792,-0.07110681947099702,-0.45662965113740983,-0.075164602800283,-0.13074409009212276,-0.01476829401721287,0.24576957615571218,-0.4625730203185629,,0.3994501715614096,0.31046021028253323,-0.12632278815997772,-0.6751399510385769,-0.7453559924999298,0.4375949744936837,-0.686406472983644,-0.642575463121999,-0.06347929706210763
Q13_8,0.06824388630407706,,0.13784304019343077,-0.22566773346210992,-0.2927700218845599,0.40990639884485014,-0.019756519492339853,-0.4358009644552831,0.032555850669650575,-0.30276503540974864,-0.10259783520851506,-0.3908679799852858,-0.3042903097250923,-0.1232784181803843,-0.4210759605332594,-0.12309149097933289,,0.04517539514526273,0.22663483432464557,0.5786375623578446,0.4264014327112208,0.4813299149207701,-0.35093120317179816,-0.2873478855663454,-0.15569978883230465,0.2834237466374771
Q13_9,-0.22190634114964872,,0.2182178902359924,0.34340140987172263,0.14285714285714285,0.241121411085206,0.16060401860990514,0.26087459737497576,0.12621954107435016,-0.6062177826491071,-0.19536616629114087,-0.099131448214768,-0.6123724356957946,0.0738414700860641,1.319146136105888e-16,-0.30860669992418405,,9.00371129760198e-17,0.5274581357616414,0.14433756729740652,0.2936400684442066,0.2737216604520212,0.16666666666666685,-0.9185586535436919,-0.18136906252750284,0.4831497779630309
Q13_10,-0.10112997936948612,,0.5532833351724881,-0.5163977794943224,-0.3779644730092272,0.3499999999999999,-0.41475753100312646,-0.38575837490522974,-0.07669649888473706,-0.3464101615137752,9.309503074677269e-17,-0.8100925873009824,-0.40824829046386296,-0.657142857142857,-0.1999999999999999,-0.2886751345948131,,-0.31428571428571417,0.2040890089643105,0.577350269189626,-0.3162277660168379,-4.532466518368393e-17,-0.16903085094570353,-0.10206207261596566,-0.29999999999999993,-0.1820481972652066
Q13_11,-0.4022244544834532,,-0.22973840032238455,0.027399831217559376,-0.1653953539259914,0.39528470752104744,0.2629368792488717,-0.24056261216234412,0.3507853424905876,-0.4032525419791079,0.03138824102871742,-0.2886751345948128,-0.41522739926869984,-0.3838859479749572,-0.4522670168666454,-0.11704114719613051,,-0.16252721107440032,-0.04908806936738159,-1.0565569562157294e-16,0.5731628259055188,0.47660312381939796,1.0675060253993157e-16,-0.3181818181818181,0.20952908873087353,0.20512331444232576
Q13_12,-0.18181818181818132,,-0.1951800145897066,0.018518518518518674,-0.17937400083354382,0.4780914437337574,-0.1754537853226052,-0.06415002990995856,-0.24992571683092607,-0.1490711984999855,0.8,-0.06415002990995844,-0.13840913308956662,-0.16424146668090256,-0.3333333333333333,0.40824829046386296,,-0.3779644730092271,-0.1886958176463563,-1.4332917616497527e-16,0.5976143046671969,0.6123724356957945,-0.2981423969999717,0.6228410989030498,0.8154100913168029,-0.3402797096360759
Q13_13,0.14382062372263335,,-0.30671917946594857,0.17801724872907793,0.08671099695241216,-0.38729833462074165,0.4394899519562636,-0.19543398999264286,-0.07113429940295783,-0.10000000000000009,0.08770580193070301,0.19543398999264283,0.031927542840704974,0.2579608086548095,0.2000000000000001,-0.49374193110101877,,0.09503819266229818,-0.16751307296815712,-0.278243337456101,0.477511509159005,0.5590169943749473,-0.19611613513818407,-0.11470786693528083,-0.09128709291752754,0.40291921896606453
Q13_14,0.09185117918925906,,0.12598815766974242,0.4747126632775414,0.05096471914376255,0.6643638388299199,0.17094086468945682,0.0778216007955864,0.1805348286724422,-0.2782433374561003,0.34527065131588963,0.239816048439636,-0.30429030972509236,0.22540915960300856,0.07784989441615231,0.11470786693528082,,0.04517539514526263,0.44811071494822086,0.34718253741470667,0.8693182879212226,0.8498365855987972,-0.2672612419124243,-0.22821773229381936,0.2095290887308735,0.14972411704366198
Q13_total,-0.23285616855310312,,0.10709477486884075,0.09985949667348754,0.07984636960488023,0.27961192309191524,0.1926044821251281,-0.19866997071081566,0.21749252464951258,-0.5842778305233292,-0.2290461907594995,-0.33788935331946507,-0.5975551905363171,-0.16555671722085885,-0.19115580174438995,-0.45066381803523975,,0.004240372694253751,0.2640767227902681,0.21782064336137538,0.4612656040144424,0.4393560829384246,0.02678357920027891,-0.7764618555347303,-0.2522624895547565,0.4066468281089846
