Q4,Q9,Q10,Q12_total,Q14_total
First Year-level courses,7.384615384615385,7.6923076923076925,52.92307692307692,11.846153846153847
Junior-level courses,12.0,6.0,52.2,7.0
Senior-level courses,5.714285714285714,5.571428571428571,46.57142857142857,11.857142857142858
Sophomore-level courses,5.2,8.4,46.333333333333336,13.2
