Q4,Q12_total,Q13_total,Q14_total,Q17_total
First Year-level courses,58.76923076923077,26.76923076923077,9.76923076923077,45.80769230769231
Junior-level courses,55.1764705882353,33.588235294117645,11.058823529411764,49.705882352941174
Senior-level courses,64.8,16.5,3.1,44.0
Sophomore-level courses,56.8,29.4,9.95,42.0
