Q4,Q12_total,Q13_total,Q14_total,Q17_total
First Year-level courses,55.333333333333336,30.083333333333332,10.333333333333334,46.166666666666664
Junior-level courses,58.714285714285715,27.428571428571427,10.714285714285714,41.0
Senior-level courses,56.333333333333336,34.5,10.666666666666666,45.666666666666664
Sophomore-level courses,48.2,31.4,10.2,46.5
