Q4,Q12_total,Q13_total,Q14_total,Q17_total
First Year-level courses,11.36770053197283,9.655289502889874,4.6243502662120415,13.452194559310332
Junior-level courses,10.417745042220313,10.458601863594218,5.595428806571643,8.600615573044417
Senior-level courses,10.411532067856298,10.330644811541157,4.748099034818507,13.703203194062977
Sophomore-level courses,16.52939964522544,9.207548390772706,5.185759853980696,13.018205875255097
