Q4,Q9,Q10,Q12_total,Q14_total
First Year-level courses,5.666666666666667,5.333333333333333,54.333333333333336,11.583333333333334
Junior-level courses,5.6,5.6,57.8,7.8
Sophomore-level courses,5.142857142857143,5.714285714285714,56.0,10.285714285714286
