Q4,Q12_total,Q13_total,Q14_total,Q17_total
First Year-level courses,57.4,26.4,7.7,44.1
Junior-level courses,54.0,33.36363636363637,10.818181818181818,46.18181818181818
Senior-level courses,52.285714285714285,33.57142857142857,12.714285714285714,45.285714285714285
Sophomore-level courses,51.857142857142854,32.857142857142854,10.571428571428571,48.57142857142857
