Q4,Q9,Q10,Q12_total,Q14_total
First Year-level courses,8.0,4.0,53.4,11.4
Junior-level courses,11.0,6.0,51.75,11.0
Senior-level courses,12.0,6.0,49.5,10.5
Sophomore-level courses,8.0,6.857142857142857,49.0,10.714285714285714
