Q4,Q12_total,Q13_total,Q14_total
First Year-level courses,13.4187147209375,9.356688465884663,5.490684752161522
Junior-level courses,14.280612642176717,11.1280426550824,5.610201331000428
Senior-level courses,12.027547745151741,8.806653328997506,5.638304371925676
Sophomore-level courses,8.931669084985076,9.188948884894039,4.94754089619684
