Q4,Q12_total,Q13_total,Q14_total,Q17_total
First Year-level courses,12.7558265553868,8.514040691051981,4.321779468896785,11.808189248709276
Junior-level courses,15.251229458637097,7.003895020240198,5.250108223992755,10.694093526972557
Senior-level courses,7.825477316949762,9.846440014156434,5.468524655221178,10.419761445034553
Sophomore-level courses,9.08164029656485,5.639993245521116,4.577377082170635,9.360504666899516
