Q4,Q12_total,Q13_total,Q14_total,Q17_total
First Year-level courses,10.882290311521855,12.788192944582859,7.075352009660443,14.769953119475874
Junior-level courses,11.614850920470822,8.343802947040853,4.956957592256421,13.988090172238191
Senior-level courses,8.524474568362947,10.821275340735028,7.393691004272945,12.420413304985736
Sophomore-level courses,7.435649863252633,6.149977416399366,2.7406406388125952,13.226656586017663
