Q4,Q9,Q10,Q12_total,Q14_total
First Year-level courses,10.0,4.6,68.6,4.0
Junior-level courses,2.6666666666666665,5.666666666666667,64.33333333333333,6.666666666666667
Senior-level courses,7.2727272727272725,7.818181818181818,55.81818181818182,5.636363636363637
Sophomore-level courses,5.2,3.0,57.8,7.8
