Q4,Q12_total,Q13_total,Q14_total
First Year-level courses,55.476190476190474,32.38095238095238,10.619047619047619
Junior-level courses,54.46153846153846,31.0,9.153846153846153
Senior-level courses,53.476190476190474,24.571428571428573,7.904761904761905
Sophomore-level courses,47.86666666666667,34.666666666666664,12.733333333333333
