,Q17_a,Q17_b,Q17_c,Q17_d,Q17_e,Q17_total
Q13_x,0.03795111864595525,-0.01933999355651549,0.11172502452872475,0.06150460206740493,-0.029731595627286844,0.052065835359138384
Q13_x,0.03795111864595525,-0.01933999355651549,0.11172502452872475,0.06150460206740493,-0.029731595627286844,0.052065835359138384
Q13_total,0.08963871669582489,-0.050429533966819456,0.12945888433607278,0.11905908404106477,-0.04318479885176306,0.08312731435415398
